antithesis|Opposite
antipathy|Dislike
affinity|Closeness
benison|Benediction
clout|Blow
cognitive|Mental
coerce|Persuade with force
amicable|Likeable
ebullient|Lively
efficacy|Low input, high output
arduous|Laborious
concession|
arcane|Outdated
ascertain|Pin down
concur|Agree
clandestine|Secret
condolence|Expression of sympathy
clemency|Pardon
bloviate|Running your mouth
antecedent|Prior
